name,address,category
Little America Hotel,"500 South Main Street, Salt Lake City, UT 84101",hotel
Crystal Inn Hotel & Suites Salt Lake City-Downtown,"230 West 500 South, Salt Lake City, UT 84101",hotel
Hilton,"255 South West Temple, Salt Lake City, UT 84101",hotel
Hyatt Regency,"170 South West Temple, Salt Lake City, UT 84101",hotel
Courtyard Salt Lake City Downtown,"345 West 100 South, Salt Lake City, UT 84101",hotel
The Grand America Hotel,"555 South Main Street, Salt Lake City, UT 84111",hotel
Salt Lake City Marriott,"220 South State Street, Salt Lake City, UT 84111",hotel
Le Méridien Lake City Downtown,"131 South 300 West, Salt Lake City, UT 84101",hotel
Evo Hotel Salt Lake,"660 South 400 West, Salt Lake City, UT 84101",hotel
Hyatt House,"140 South 300 West, Salt Lake City, UT 84101",hotel
