name,address,category
La Penetre Soleit,"Số 44, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Cafe - Giải Khát,"Số 42Bis, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
1960's,"Số 38, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
G Coffee,"Số 42, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Quán Trà Vigor,"Số 160, Đường Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
1st Garden Cafe Bistro,"Số 26, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Nhà Hàng Cafe 74 - O'brien's,"Số 74A3, Đường Hai Bà Trưng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
TEASPOON Coffee & Tearoom,"Số 37, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Quán Tàu Hũ Soya Tofu,"Số 45, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Cà Phê Trung Nguyên,"Đường Lê Lợi, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Quán Cafe,"Số 95, Đường Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Cửa Hàng Nước Giải Khát,"Đường Lê Thánh Tôn, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Café - Giải Khát Hạnh,"Số 96, Đường Nam Kỳ Khởi Nghĩa, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Cafe Sài Gòn 123,"Số 123, Đường Nguyễn Huệ, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Café - Giải Khát,"Số 39, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Café Xí Muội,"Số 37, Đường Lý Tự Trọng, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Cafe Terrace,"Đường Pasteur, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Quán Cà Phê Trung Nguyên Legend,"Số 80, Đường Đồng Khởi, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
My House Cafe & Bar,"Số 28, Đường Cao Bá Quát, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
Ruman D' Café,"Số 3, Công Trường Công Xã Paris, Bến Nghé, Quận 1, Hồ Chí Minh, Hồ Chí Minh, 71006",café
