name,address,category
Quán Café,"Số 62, Đường Minh Mạng, Thủy Xuân, Huế, Thừa Thiên Huế, 49131",café
Quán Café,"Số 46, Đường Nguyễn Phúc Nguyên, Hương Long, Huế, Thừa Thiên Huế, 49123",café
Café - Giải Khát,"Số 92, Đường Kim Long, Kim Long, Huế, Thừa Thiên Huế, 49122",café
Café - Giải Khát - Billiards,"Số 314, Đường Điện Biên Phủ, Trường An, Huế, Thừa Thiên Huế, 49130",café
Quán Giải Khát,"Số 167, Đường Ngự Bình, An Tây, Huế, Thừa Thiên Huế, 49130",café
Quán Café - Giải Khát,"Đường Ngự Bình, An Tây, Huế, Thừa Thiên Huế, 49127",café
Quán Giải Khát,"Đường Nguyễn Hoàng, Kim Long, Huế, Thừa Thiên Huế, 49123",café
Quán Café,"Số 138, Đường Phạm Thị Liên, Kim Long, Huế, Thừa Thiên Huế, 49122",café
Quán Chè Sao,"Số 60, Đường Phan Chu Trinh, Trường An, Huế, Thừa Thiên Huế, 49130",café
Quán Café - Bia Lạnh,"Số 45, Đường Trần Thúc Nhẫn, Vĩnh Ninh, Huế, Thừa Thiên Huế, 49120",café
